Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369998159154,Coles Organic Avocados | 1 each,coles,22380,5055611,QLD,300,300,300,300,1each,https://www.coles.com.au/product/coles-organic-avocados-1-each-5055611,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5055611.jpg&w=640&q=90
9369998159154,Coles Organic Avocados | 1 each,coles,22380,5055611,ACT,300,300,300,300,1each,https://www.coles.com.au/product/coles-organic-avocados-1-each-5055611,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5055611.jpg&w=640&q=90
9369998159154,Coles Organic Avocados | 1 each,coles,22380,5055611,NT,,420,,420,1each,https://www.coles.com.au/product/coles-organic-avocados-1-each-5055611,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5055611.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,VIC,522,522,290,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,NSW,522,522,290,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,QLD,522,522,290,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,WA,576,576,320,320,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,SA,522,522,290,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,TAS,522,522,290,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,ACT,522,522,290,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9310645204178,Coles Seedless Watermelon Cut | approx. 1.8kg,coles,22359,7508229,NT,,522,,290,1.8kg,https://www.coles.com.au/product/coles-seedless-watermelon-cut-approx.-1.8kg-7508229,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F7%2F7508229.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,VIC,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,NSW,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
9339337003004,Coles Dried Porcini Mushrooms | 20g,coles,22382,1597850,QLD,500,500,25000,25000,20g,https://www.coles.com.au/product/coles-dried-porcini-mushrooms-20g-1597850,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F1%2F1597850.jpg&w=640&q=90
